Familia,Resultado,DocumentID,Filename,ValueText,RevisionNo
_SW_Detailing_Mode_,"Tapa-pó-15,5",3871,"Tapa-pó-15,5 - cortado para casar com tampa traseira.SLDDRW",0,4
_SW_Detailing_Mode_,TestaAlavanca-3pontos-Junho2018-FINAL,3876,TestaAlavanca-3pontos-Junho2018-FINAL.SLDDRW,0,2
_SW_Detailing_Mode_,01-ALV-087,3879,01-ALV-087 - ChapaTesta alavanca (1700) FINAL.SLDDRW,0,2
_SW_Detailing_Mode_,Régua,3886,Régua inferior com pontas JUN2018-FINAL.SLDDRW,0,3
_SW_Detailing_Mode_,Régua,3888,Régua inferior com pontas - Fechadura Alavanca-FINAL.SLDDRW,0,2
_SW_Detailing_Mode_,EP05AL1701,3891,EP05AL1701 - testa fechadura alavanca 1700mm.SLDDRW,0,4
_SW_Detailing_Mode_,02-71-001,4021,02-71-001 - Aba Direita Dob.7100.SLDDRW,0,3
_SW_Detailing_Mode_,02-71-002,4023,02-71-002 - Aba Curva Dob.7100.SLDDRW,0,3
_SW_Detailing_Mode_,7100-Fielø10,4024,7100-Fielø10.SLDDRW,0,5
_SW_Detailing_Mode_,7100,4026,7100.SLDDRW,0,5
_SW_Detailing_Mode_,7100,4030,7100 - C16.SLDDRW,0,4
_SW_Detailing_Mode_,MSDBUCDOB0007,4046,MSDBUCDOB0007 - Bucha pino CE.SLDDRW,0,2
_SW_Detailing_Mode_,EP06007001_A,4242,EP06007001_A - Boitier Secu 721.9253 (Caixa) (old).SLDDRW,0,6
_SW_Detailing_Mode_,MolaCremone,4349,MolaCremone.SLDDRW,0,4
_SW_Detailing_Mode_,EP09004001,4752,EP09004001 - Punho Logic 2860.SLDDRW,0,3
_SW_Detailing_Mode_,EP09710003,4868,EP09710003 - ROSCAR M6 ABA CURVA DOB.7100.SLDDRW,0,4
_SW_Detailing_Mode_,EP09710002,4869,EP09710002 - FURAR ABA CURVA DOB.7100.SLDDRW,0,4
_SW_Detailing_Mode_,EP15003057,5016,EP15003057 - H48107 (Punho -AAK100)apagar.slddrw,0,4
_SW_Detailing_Mode_,EP15003056,5017,EP15003056 - H48106 (Punho -AAI100)apagar.slddrw,0,4
_SW_Detailing_Mode_,EP15003055,5018,EP15003055 - H48104 (Punho -AAJ100).SLDDRW,0,4
_SW_Detailing_Mode_,EP15003054,5019,EP15003054 - H48103 (Punho -AAH100).SLDDRW,0,4
_SW_Detailing_Mode_,EP08003020,5035,EP08003020 - 313415-Cavilão.SLDDRW,0,5
_SW_Detailing_Mode_,EP08003003,5987,EP08003003 - 310030.SLDDRW,0,4
_SW_Detailing_Mode_,MolaCremone,6039,MolaCremone - Montada.SLDDRW,0,3
_SW_Detailing_Mode_,MSDPERDOB0005,6042,MSDPERDOB0005 - Perno anti-levantamento ALUPORTA.SLDDRW,0,3
_SW_Detailing_Mode_,EP09710007,6051,EP09710007 - Escarear Aba Curva (Aro Fixo) - ALUPORTA.SLDDRW,0,4
_SW_Detailing_Mode_,EP09710008,6052,EP09710008 - Furar Aba Curva (Aro Fixo) - ALUPORTA.SLDDRW,0,4
_SW_Detailing_Mode_,EP09710009,6058,EP09710009 - Roscar Aba Curva (Aro Fixo) - ALUPORTA.SLDDRW,0,4
_SW_Detailing_Mode_,EP13A14001,6110,EP13A14001 - Fiel ø7x60.SLDDRW,0,4
_SW_Detailing_Mode_,EP06A14001,6111,EP06A14001 - Bucha A1-40.SLDDRW,0,3
_SW_Detailing_Mode_,EP08710001_A,6141,EP08710001_A - Bucha 7100 para dob. 3abas.SLDDRW,0,4
_SW_Detailing_Mode_,EP15710003,6150,EP15710003 - MONTAGEM DOB. 7100 Spec.SLDDRW,0,8
